Car,Class,Driver,Lap,Lap Time,Session Time,Flag,Location,S01,S02,S03
12,GTD,Frankie Montecalvo,12,01:48.0,21:50.7,Green,Track,25.995,50.129,31.859
98,GTD,David Pittard,12,01:48.2,21:55.8,Green,Track,26.038,49.969,32.165
32,GTD,Mike Skeen,12,01:47.8,21:56.1,Green,Track,25.698,50.111,31.99
47,GTD,Giorgio Sernagiotto,12,01:48.1,21:57.1,Green,Track,25.458,50.382,32.263
39,GTD,Corey Lewis,12,01:47.6,21:58.4,Green,Track,25.564,50.059,31.959
75,GTD,Kenny Habul,12,01:47.9,21:59.3,Green,Track,25.94,50.045,31.89
44,GTD,John Potter,12,01:49.5,22:05.4,Green,Track,26.118,50.948,32.476
71,GTD,Misha Goikhberg,12,01:48.8,22:08.4,Green,Track,25.64,50.845,32.313
16,GTD,Ryan Hardwick,12,01:49.5,22:14.9,Green,Track,26.077,50.811,32.589
19,GTD,Bill Sweedler,12,01:49.2,22:15.4,Green,Track,25.784,50.733,32.634
34,GTD,James Sofronas,12,01:49.4,22:15.7,Green,Track,25.977,50.723,32.652
99,GTD,Nick Boulle,12,01:49.5,22:16.1,Green,Track,26.157,50.739,32.604
96,GTD,Robby Foley,12,01:48.9,22:16.5,Green,Track,25.781,50.812,32.342
27,GTD,Ian James,12,01:49.8,22:17.7,Green,Track,26.089,51.579,32.142
66,GTD,Till Bechtolsheimer,12,01:50.0,22:18.4,Green,Track,25.878,51.83,32.324
21,GTD,Luis Perez Companc,12,01:48.7,22:30.1,Green,Track,25.952,50.477,32.242
42,GTD,Don Yount,12,01:51.3,22:35.8,Green,Track,26.325,51.814,33.117
64,GTD,Ted Giovanis,12,01:53.6,23:20.1,Green,Track,27.262,52.728,33.608
59,GTD,Jon Miller,13,01:48.4,23:32.9,Green,Track,25.766,50.784,31.897
70,GTD,Frederik Schandorff,13,01:47.0,23:34.8,Green,Track,25.776,49.752,31.502
57,GTD,Russell Ward,13,01:47.0,23:36.3,Green,Track,25.322,49.841,31.787
28,GTD,Daniel Morad,13,01:47.3,23:36.9,Green,Track,25.528,49.923,31.861
12,GTD,Frankie Montecalvo,13,01:49.2,23:40.0,Green,Track,25.631,50.892,32.703
98,GTD,David Pittard,13,01:47.3,23:43.1,Green,Track,25.561,49.966,31.771
32,GTD,Mike Skeen,13,01:47.8,23:43.9,Green,Track,25.607,50.35,31.819
47,GTD,Giorgio Sernagiotto,13,01:48.8,23:45.9,Green,Track,25.554,49.97,33.24
39,GTD,Corey Lewis,13,01:47.9,23:46.3,Green,Track,25.573,50.228,32.125
75,GTD,Kenny Habul,13,01:48.2,23:47.5,Green,Track,25.845,50.162,32.192
44,GTD,John Potter,13,01:48.8,23:54.3,Green,Track,26.08,50.33,32.439
71,GTD,Misha Goikhberg,13,01:48.7,23:57.1,Green,Track,25.68,50.63,32.406
16,GTD,Ryan Hardwick,13,01:48.7,24:03.6,Green,Track,25.9,50.211,32.602
19,GTD,Bill Sweedler,13,01:48.7,24:04.1,Green,Track,25.958,50.378,32.323
34,GTD,James Sofronas,13,01:49.7,24:05.4,Green,Track,26.52,50.595,32.578
99,GTD,Nick Boulle,13,01:49.6,24:05.7,Green,Track,26.554,50.608,32.412
96,GTD,Robby Foley,13,01:49.7,24:06.2,Green,Track,26.418,50.914,32.349
27,GTD,Ian James,13,01:48.6,24:06.3,Green,Track,25.798,50.72,32.082
66,GTD,Till Bechtolsheimer,13,01:48.6,24:07.0,Green,Track,25.615,50.559,32.423
